pid,QID287_1,QID287_2,QID287_3,QID287_4,QID287_5,QID287_6,QID287_7,QID287_10,QID287_11,QID287_12,QID154,QID158,QID160_1,QID160_2,QID160_3,QID161,QID165,QID166_TEXT,QID169,QID170_TEXT,QID171,QID174,QID177,QID181_TEXT,QID184,QID191,QID192,QID195,QID203_1,QID203_2,QID203_3,QID203_4,QID203_5,QID203_6,QID288_1,QID288_2,QID288_3,QID288_4,QID289_1,QID289_2,QID289_3,QID289_4,QID291,QID196,QID290_1,QID290_2,QID290_3,QID290_4,QID290_5,QID290_6,QID290_7,QID290_10,QID290_11,QID290_12,QID9_1,QID9_2,QID9_3,QID9_4,QID9_5,QID9_6,QID9_7,QID9_8,QID9_9,QID9_10,QID9_11,QID9_12,QID9_13,QID9_14,QID9_15,QID9_16,QID9_17,QID9_18,QID9_19,QID9_20,QID9_21,QID9_22,QID9_23,QID9_24,QID9_25,QID9_26,QID9_27,QID9_28,QID9_29,QID9_30,QID9_31,QID9_32,QID9_33,QID9_34,QID9_35,QID9_36,QID9_37,QID9_38,QID9_39,QID9_40,QID162,QID163,QID164_TEXT,QID167,QID168_TEXT,QID182_TEXT,QID190,QID194,QID198_1,QID198_2,QID198_3,QID198_4,QID198_5,QID198_6,QID198_7,QID198_8,QID198_9,QID198_10,QID156,QID157,QID172,QID175,QID178,QID183,QID193,QID159_1,QID159_2,QID159_3,QID173,QID176,QID179,QID189
1,4,4,5,5,5,1,5,5,5,4,82.0,6.0,3.0,5.0,5.0,6.0,2.0,54,2.0,400,5.0,5.0,6.0,5,2.0,3.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,7,1,1,1,1,7,7,7,1,2,100.0,100.0,100.0,100.0,92.0,27.0,71.0,100.0,81.0,100.0,2,1,1,1,2,2,2,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,2,1,2,2,1,2,1,2,2,2,2,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,4,5,5,4,5,5,5,3,3,80.0,3.0,4.0,4.0,3.0,,,,,,2.0,2.0,3.0,,2.0,,1.0,,,,,,,,6,2,3,2,2,3,6,7,2,2,45.0,40.0,45.0,40.0,50.0,40.0,40.0,45.0,65.0,50.0,1,2,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,6.0,2.0,10,1.0,200,15,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
3,4,2,2,3,4,5,2,5,4,3,,,4.0,3.0,2.0,6.0,,,,,,,,12,,,,6.0,1.0,1.0,2.0,1.0,1.0,2.0,6,2,6,6,3,5,5,5,4,2,40.0,10.0,25.0,25.0,40.0,60.0,10.0,100.0,66.0,57.0,1,2,2,2,1,1,1,2,2,2,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,,1.0,22,1.0,220,,7.0,,,,,,,,,,,,61.0,3.0,2.0,5.0,6.0,1.0,2.0,,,,,,,
4,5,5,5,5,5,5,5,5,3,5,70.0,,,,,7.0,2.0,54,2.0,380,,,,,1.0,2.0,2.0,,,,,,,,7,1,1,1,1,7,7,7,4,2,50.0,50.0,63.0,59.0,52.0,55.0,50.0,90.0,50.0,76.0,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,10,,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6.0,3.0,5.0,6.0,,,4.0,4.0,1.0,,,,
5,2,3,3,4,4,2,5,4,4,4,55.0,4.0,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,7,2,4,3,3,6,7,6,3,2,29.0,17.0,26.0,73.0,75.0,24.0,84.0,99.0,90.0,99.0,1,2,2,2,2,1,2,1,2,1,2,1,2,2,1,2,2,2,1,2,1,1,1,2,1,2,2,2,1,1,2,1,1,1,2,2,1,2,1,2,3.0,1.0,50,1.0,300,8,10.0,,,,,,,,,,,,,,4.0,5.0,5.0,2.0,,2.0,3.0,2.0,,,,
6,5,4,5,5,4,5,5,5,1,5,30.0,2.0,3.0,3.0,4.0,,2.0,26,2.0,550,,,,20,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,7,2,2,2,5,6,7,7,3,1,80.0,65.0,80.0,75.0,80.0,65.0,65.0,85.0,40.0,70.0,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2,1,1,2,2,5.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,4.0,5.0,5.0,
7,5,4,5,4,4,5,5,5,2,4,30.0,,4.0,5.0,3.0,,1.0,100,1.0,5000,,,,10,,4.0,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,7,4,5,4,5,6,7,6,3,2,40.0,31.0,30.0,60.0,50.0,42.0,75.0,25.0,55.0,48.0,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,6.0,,,,,,,4.0,,,,,,,,,,,,3.0,1.0,4.0,5.0,1.0,,,,,,,,
8,4,3,4,4,4,3,3,4,5,4,,2.0,,,,,,,,,1.0,4.0,4.0,,,1.0,,,1.0,2.0,2.0,1.0,1.0,2.0,6,1,4,4,5,5,5,5,3,1,58.0,43.0,69.0,41.0,59.0,53.0,39.0,74.0,28.0,56.0,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,6.0,1.0,54,1.0,365,12,,6.0,,,,,,,,,,,70.0,,,,,1.0,2.0,4.0,3.0,3.0,,,,
9,4,4,3,5,5,2,4,5,5,2,30.0,2.0,3.0,3.0,3.0,,,,,,,,,,2.0,,,,,,,,,,7,2,6,6,3,7,6,5,1,1,40.0,50.0,30.0,50.0,70.0,35.0,80.0,75.0,80.0,60.0,2,2,2,2,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,1,5.0,1.0,15,1.0,120,10,,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,4.0,4.0,4.0,,2.0,,,,,,,4.0
10,5,5,5,5,4,5,5,5,1,1,,,2.0,1.0,1.0,5.0,2.0,48,,,,,,15,,,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6,3,5,6,3,5,6,6,4,1,57.0,53.0,65.0,46.0,54.0,32.0,67.0,48.0,48.0,35.0,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,,,1.0,245,,,,,,,,,,,,,,70.0,4.0,2.0,5.0,6.0,2.0,,,,,,,,6.0
