pid,QID287_1,QID287_2,QID287_3,QID287_4,QID287_5,QID287_6,QID287_7,QID287_10,QID287_11,QID287_12,QID154,QID158,QID160_1,QID160_2,QID160_3,QID161,QID165,QID166_TEXT,QID169,QID170_TEXT,QID171,QID174,QID177,QID181_TEXT,QID184,QID191,QID192,QID195,QID203_1,QID203_2,QID203_3,QID203_4,QID203_5,QID203_6,QID288_1,QID288_2,QID288_3,QID288_4,QID289_1,QID289_2,QID289_3,QID289_4,QID291,QID196,QID290_1,QID290_2,QID290_3,QID290_4,QID290_5,QID290_6,QID290_7,QID290_10,QID290_11,QID290_12,QID9_1,QID9_2,QID9_3,QID9_4,QID9_5,QID9_6,QID9_7,QID9_8,QID9_9,QID9_10,QID9_11,QID9_12,QID9_13,QID9_14,QID9_15,QID9_16,QID9_17,QID9_18,QID9_19,QID9_20,QID9_21,QID9_22,QID9_23,QID9_24,QID9_25,QID9_26,QID9_27,QID9_28,QID9_29,QID9_30,QID9_31,QID9_32,QID9_33,QID9_34,QID9_35,QID9_36,QID9_37,QID9_38,QID9_39,QID9_40,QID162,QID163,QID164_TEXT,QID167,QID168_TEXT,QID182_TEXT,QID190,QID194,QID198_1,QID198_2,QID198_3,QID198_4,QID198_5,QID198_6,QID198_7,QID198_8,QID198_9,QID198_10,QID156,QID157,QID172,QID175,QID178,QID183,QID193,QID159_1,QID159_2,QID159_3,QID173,QID176,QID179,QID189
1,Somewhat support,Somewhat support,Strongly support,Strongly support,Strongly support,Strongly oppose,Strongly support,Strongly support,Strongly support,Somewhat support,82,I strongly favor program B,Somewhat probable,Very probable,Very probable,"Correct, all things considered",fewer,54,less,400,Agree strongly,Agree strongly,very likely,5,No,"$1,000",One million dollars for sure,definitely yes,red,red,red,green,green,red,extremely beneficial,not at all beneficial,not at all beneficial,not at all beneficial,not at all risky,extremely risky,extremely risky,extremely risky,I would definitely not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the large tray,100,100,100,100,92,27,71,100,81,100,"No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Strongly support,Somewhat support,Strongly support,Strongly support,Somewhat support,Strongly support,Strongly support,Strongly support,Neither oppose nor support,Neither oppose nor support,80,I slightly favor program A,Moderately probable,Moderately probable,Somewhat probable,,,,,,Disagree a little,Disagree a little,somewhat unlikely,,No,,One million dollars for sure,,,,,,,,very beneficial,low benefit,slightly beneficial,low benefit,low risk,slightly risky,very risky,extremely risky,I would probably not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the large tray,45,40,45,40,50,40,40,45,65,50,"Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Correct, all things considered",fewer,10,more,200,15,"$1,000",definitely yes,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
3,Somewhat support,Somewhat oppose,Somewhat oppose,Neither oppose nor support,Somewhat support,Strongly support,Somewhat oppose,Strongly support,Somewhat support,Neither oppose nor support,,,Moderately probable,Somewhat probable,Very improbable,"Correct, all things considered",,,,,,,,12,,,,definitely yes,red,red,green,red,red,green,very beneficial,low benefit,very beneficial,very beneficial,slightly risky,moderately risky,moderately risky,moderately risky,I would definitely take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine.,the large tray,40,10,25,25,40,60,10,100,66,57,"Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",,more,22,more,220,,"$250,000",,,,,,,,,,,,61,I slightly favor program A,Disagree a little,Agree strongly,very likely,Yes,10% probablity of five miillion dollars 90% probability of nothing,,,,,,,
4,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Neither oppose nor support,Strongly support,70,,,,,"Clearly correct, an excellent decision",fewer,54,less,380,,,,,Yes,$100,89% probability of one million dollars 10% probablity of five miillion dollars 1% probability of nothing,,,,,,,,extremely beneficial,not at all beneficial,not at all beneficial,not at all beneficial,not at all risky,extremely risky,extremely risky,extremely risky,I would definitely take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine.,the large tray,50,50,63,59,52,55,50,90,50,76,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product",,,,,,10,,definitely yes,1,1,1,1,1,1,1,1,1,1,,I strongly favor program B,Neither agree nor disagree,Agree strongly,very likely,,,Moderately probable,Moderately probable,Extremely improbable,,,,
5,Somewhat oppose,Neither oppose nor support,Neither oppose nor support,Somewhat support,Somewhat support,Somewhat oppose,Strongly support,Somewhat support,Somewhat support,Somewhat support,55,I slightly favor program B,,,,,,,,,,,,,,,89% probability of one million dollars 10% probablity of five miillion dollars 1% probability of nothing,no,red,red,green,red,green,red,extremely beneficial,low benefit,neutral,slightly beneficial,slightly risky,very risky,extremely risky,very risky,I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine,the large tray,29,17,26,73,75,24,84,99,90,99,"Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Incorrect, but not unreasonable",more,50,more,300,8,"$5,000,000 or more",,,,,,,,,,,,,,Agree a little,Agree strongly,likely,No,,Very improbable,Somewhat probable,Very improbable,,,,
6,Strongly support,Somewhat support,Strongly support,Strongly support,Somewhat support,Strongly support,Strongly support,Strongly support,Strongly oppose,Strongly support,30,I favor program A,Somewhat probable,Somewhat probable,Moderately probable,,fewer,26,less,550,,,,20,No,$100,One million dollars for sure,,red,red,red,red,green,green,extremely beneficial,low benefit,low benefit,low benefit,moderately risky,very risky,extremely risky,extremely risky,I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine,the small tray,80,65,80,75,80,65,65,85,40,70,"No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Correct, but the opposite would be reasonable too",,,,,,,definitely yes,,,,,,,,,,,,,,,,,,,,,Agree a little,Agree strongly,likely,
7,Strongly support,Somewhat support,Strongly support,Somewhat support,Somewhat support,Strongly support,Strongly support,Strongly support,Somewhat oppose,Somewhat support,30,,Moderately probable,Very probable,Somewhat probable,,more,100,more,5000,,,,10,,"$10,000",One million dollars for sure,,red,red,green,green,red,green,extremely beneficial,neutral,moderately beneficial,neutral,moderately risky,very risky,extremely risky,very risky,I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine,the large tray,40,31,30,60,50,42,75,25,55,48,"Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Correct, all things considered",,,,,,,probably yes,,,,,,,,,,,,I slightly favor program A,Disagree strongly,Agree a little,likely,Yes,,,,,,,,
8,Somewhat support,Neither oppose nor support,Somewhat support,Somewhat support,Somewhat support,Neither oppose nor support,Neither oppose nor support,Somewhat support,Strongly support,Somewhat support,,I favor program A,,,,,,,,,Disagree strongly,Agree a little,somewhat likely,,,$10,,,red,green,green,red,red,green,very beneficial,not at all beneficial,neutral,neutral,moderately risky,moderately risky,moderately risky,moderately risky,I would probably take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine,the small tray,58,43,69,41,59,53,39,74,28,56,"No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Correct, all things considered",more,54,more,365,12,,definitely yes,,,,,,,,,,,70,,,,,Yes,10% probablity of five miillion dollars 90% probability of nothing,Moderately probable,Somewhat probable,Somewhat probable,,,,
9,Somewhat support,Somewhat support,Neither oppose nor support,Strongly support,Strongly support,Somewhat oppose,Somewhat support,Strongly support,Strongly support,Somewhat oppose,30,I favor program A,Somewhat probable,Somewhat probable,Somewhat probable,,,,,,,,,,No,,,,,,,,,,extremely beneficial,low benefit,very beneficial,very beneficial,slightly risky,extremely risky,very risky,moderately risky,I would definitely not take the vaccine. I would thus accept the 10% chance of dying from this flu.,the small tray,40,50,30,50,70,35,80,75,80,60,"No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Correct, but the opposite would be reasonable too",more,15,more,120,10,,yes,1,1,1,1,1,1,1,1,1,1,,,Agree a little,Agree a little,somewhat likely,,10% probablity of five miillion dollars 90% probability of nothing,,,,,,,"$10,000"
10,Strongly support,Strongly support,Strongly support,Strongly support,Somewhat support,Strongly support,Strongly support,Strongly support,Strongly oppose,Strongly oppose,,,Very improbable,Extremely improbable,Extremely improbable,"Correct, but the opposite would be reasonable too",fewer,48,,,,,,15,,,One million dollars for sure,definitely yes,red,red,red,red,red,red,very beneficial,slightly beneficial,moderately beneficial,very beneficial,slightly risky,moderately risky,very risky,very risky,I would definitely take the vaccine. I would thus accept the 5% chance of dying from the weaker flu in the vaccine.,the small tray,57,53,65,46,54,32,67,48,48,35,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product",,,,more,245,,,,,,,,,,,,,,70,I slightly favor program B,Disagree a little,Agree strongly,very likely,No,,,,,,,,"$100,000"
