TWIN_ID,score_socialdesirability,score_conscientiousness,score_anxiety,score_HI,score_VI,score_HC,score_VC,score_finliteracy,score_numeracy,score_deductive_certainty,score_forwardflow,score_discount,score_presentbias,score_riskaversion,score_lossaversion,score_trustgame_sender,score_trustgame_receiver
1,5,8,27,4.25,4.5,3.75,5.0,3,3,4,0.8009517150572342,0.0,0.0,0.3055555555555556,no switch,40.0,33.0
2,7,3,48,3.0,2.25,4.0,3.25,4,7,4,0.8757178274313049,0.0,0.0,0.45555555555555555,no switch,40.0,46.0
3,6,8,1,3.75,3.5,3.75,3.75,5,2,4,0.8268360118098744,4717.878902760957,0.0,-0.4222222222222222,no switch,40.0,68.0
4,8,8,0,4.5,1.5,5.0,5.0,6,6,4,0.7839073552766544,0.0,0.0,0.09999999999999999,no switch,60.0,59.0
5,3,5,9,3.25,2.75,2.25,3.5,4,7,4,0.8004895915765905,8.944379741508454,0.22708333333333333,-0.12777777777777777,no switch,0.0,44.0
6,12,8,3,5.0,1.75,4.25,4.5,5,6,4,0.8660935833921783,0.0,0.0,0.06666666666666667,0.9036683083403806,20.0,31.0
7,3,3,13,5.0,2.75,4.25,3.5,3,4,4,0.7657410292333582,22374334.053141396,0.0,0.12222222222222223,no switch,0.0,0.0
8,0,8,8,4.0,4.0,2.75,4.25,3,7,4,0.8164669904815953,no switch,no switch,no switch,no switch,20.0,18.0
9,6,8,8,4.5,2.25,4.25,4.0,7,8,4,0.8159822772811235,87.99940363439786,0.008333333333333333,0.16111111111111112,0.9160046386840262,40.0,40.0
10,2,3,11,2.75,1.25,4.25,3.25,7,8,4,0.8278577878813734,4.825761367031629,0.0,0.29444444444444445,0.35745297230435336,40.0,46.0
11,1,8,10,5.0,1.0,3.75,4.5,5,2,4,0.7558735361532377,0.0,0.016666666666666666,0.16666666666666666,no switch,40.0,55.0
12,10,8,0,5.0,2.5,3.5,4.0,7,8,4,0.8239517352045855,0.0,0.016666666666666666,0.049999999999999996,no switch,100.0,30.0
13,11,8,6,5.0,2.0,4.75,4.0,3,3,4,0.800414227369919,398.0649639559679,0.011111111111111108,0.6111111111111112,no switch,60.0,48.0
14,9,8,0,3.5,2.0,2.75,1.75,5,7,4,0.7697856253249273,0.0,0.0,0.39999999999999997,0.27613572389923235,60.0,34.0
15,4,7,1,3.25,2.75,3.5,3.25,6,3,4,0.8039323751223569,0.0,0.0,0.6111111111111112,no switch,40.0,33.0
16,1,8,2,4.0,2.0,4.0,4.0,5,5,4,0.8899019983591839,0.9315923415345702,0.16041666666666668,0.27777777777777773,no switch,100.0,45.0
17,9,8,1,5.0,1.0,3.5,2.0,6,8,4,0.7872392542098618,-0.9711920821388641,0.13055555555555554,0.6111111111111112,no switch,40.0,45.0
18,1,8,14,3.5,2.25,2.75,3.5,6,7,4,0.8098600601713843,0.0,0.0,0.05000000000000001,0.9893366943393028,60.0,55.0
19,2,5,7,4.0,4.0,4.75,3.75,4,3,4,0.762786541766349,0.0,0.0,-0.6666666666666666,no switch,0.0,0.0
20,5,4,3,4.5,3.75,3.25,4.5,5,4,4,0.8525888891383944,4.825761367031629,0.024305555555555552,0.016666666666666666,0.8876099747089672,20.0,37.0
21,1,8,12,4.5,4.0,4.25,4.25,5,7,4,0.8407772814518187,0.0,0.0,0.25,0.2684888601223636,60.0,40.0
22,1,8,13,4.75,2.25,3.25,3.5,4,7,3,0.8231044452290618,20772.84470154402,-0.020833333333333332,-0.1111111111111111,no switch,20.0,45.0
23,5,8,0,5.0,4.25,5.0,5.0,7,7,4,0.834491106014652,-0.333223269233891,0.05555555555555555,-0.06666666666666667,0.9514758127934604,100.0,54.0
24,6,1,18,3.5,4.0,1.5,2.25,4,3,4,0.7342874211526598,354.711425233053,0.325,0.6111111111111112,no switch,100.0,5.0
25,13,8,1,4.5,2.0,5.0,5.0,2,2,4,0.6901327407921023,0.0,0.0,0.5277777777777778,no switch,20.0,15.0
26,10,8,0,5.0,1.5,4.5,1.75,5,1,3,0.9112196928555655,0.0,0.0,-0.2222222222222222,no switch,20.0,42.0
27,3,1,2,4.25,2.75,4.0,3.25,6,8,4,0.8204558586673555,-0.333223269233891,0.05555555555555555,0.29444444444444445,0.402001229868926,40.0,40.0
28,5,4,6,4.75,3.25,3.25,3.0,4,4,4,0.7677398785824938,44.46995909249589,0.020833333333333332,0.21666666666666667,no switch,60.0,55.0
29,6,6,1,5.0,1.0,5.0,3.0,6,5,4,0.7973631016621642,0.0,0.0,0.41111111111111115,no switch,40.0,45.0
30,0,7,0,5.0,3.0,4.0,4.25,3,7,4,0.8210791378624335,no switch,no switch,no switch,no switch,100.0,55.0
31,0,2,32,4.0,1.5,4.0,2.0,2,3,4,0.8506508774953425,0.0,0.0,0.06666666666666667,no switch,40.0,45.0
